"State Total Population: 7,078,515"				
"Ideal District Population: 176,963"				
Senate 		Total 		Deviation from		Deviation
District	Population	Ideal			Percentage	
1		189763		12800 			7.2%	
2		149888		(27075)			-15.3%	
 3		181082		4119 			2.3%	
 4		199611		22648 			12.8%	
 5		143643		(33320)			-18.8%	
 6		136556		(40407)			-22.8%	
 7		152111		(24852)			-14.0%	
 8		167639		(9324)			-5.3%	
 9		149110		(27853)			-15.7%	
10		168182		(8781)			-5.0%	
11		194188		17225 			9.7%	
12		190575		13612 			7.7%	
13		176293		(670)			-0.4%	
14		220607		43644 			24.7%
15		170373		(6590)			-3.7%
16		146924		(30039)			-17.0%
17		208658		31695 			17.9%
18		159437		(17526)			-9.9%
19		157197		(19766)			-11.2%
20		168010		(8953)			-5.1%
21		159193		(17770)			-10.0%
22		164070		(12893)			-7.3%
23		167870		(9093)			-5.1%
24		174606		(2357)			-1.3%
25		174319		(2644)			-1.5%
26		189401		12438 			7.0%
27		182380		5417 			3.1%
28		215826		38863 			22.0%
29		209172		32209 			18.2%
30		174712		(2251)			-1.3%
31		174500		(2463)			-1.4%
32		177755		792 			0.4%
33		262751		85788 			48.5%
34		175317		(1646)			-0.9%
35		158737		(18226)			-10.3%
36		184196		7233 			4.1%
37		221044		44081 			24.9%
38		150973		(25990)			-14.7%
39		170581		(6382)			-3.6%
40		161265		(15698)			-8.9%
			
