Current House district populations according to Census 2000			
State Total Population: 7078515			
Ideal District Population: 70785			
Dist.	Total 	Dev.	Deviation
Number	Pop.	from	Percentage
		Ideal
 1	61742	(9043)	-12.8%
 2	63856	(6929)	-9.8%
 3	59676	(11109)	-15.7%
 4	68470	(2315)	-3.3%
 5	65026	(5759)	-8.1%
 6	66451	(4334)	-6.1%
 7	61971	(8814)	-12.5%
 8	65573	(5212)	-7.4%
 9	73107	2322 	3.3%
10	65882	(4903)	-6.9%
11	65630	(5155)	-7.3%
12	68737	(2048)	-2.9%
13	93346	22561 	31.9%
14	68927	(1858)	-2.6%
15	70983	198 	0.3%
16	61959	(8826)	-12.5%
17	61831	(8954)	-12.6%
18	64104	(6681)	-9.4%
19	76436	5651 	8.0%
20	60360	(10425)	-14.7%
21	67070	(3715)	-5.2%
22	68254	(2531)	-3.6%
23	60741	(10044)	-14.2%
24	71884	1099 	1.6%
25	72137	1352 	1.9%
26	78532	7747 	10.9%
27	70713	(72)	-0.1%
28	92446	21661 	30.6%
29	79795	9010 	12.7%
30	78014	7229 	10.2%
31	72819	2034 	2.9%
32	126496	55711 	78.7%
33	81987	11202 	15.8%
34	75006	4221 	6.0%
35	68244	(2541)	-3.6%
36	83956	13171 	18.6%
37	66183	(4602)	-6.5%
38	68433	(2352)	-3.3%
39	67421	(3364)	-4.8%
40	85006	14221 	20.1%
41	63280	(7505)	-10.6%
42	65399	(5386)	-7.6%
43	82825	12040 	17.0%
44	65226	(5559)	-7.9%
45	63856	(6929)	-9.8%
46	73341	2556 	3.6%
47	68489	(2296)	-3.2%
48	70999	214 	0.3%
49	66103	(4682)	-6.6%
50	77060	6275 	8.9%
51	74060	3275 	4.6%
52	81772	10987 	15.5%
53	72521	1736 	2.5%
54	88820	18035 	25.5%
55	86320	15535 	21.9%
56	83391	12606 	17.8%
57	65107	(5678)	-8.0%
58	82837	12052 	17.0%
59	69873	(912)	-1.3%
60	64799	(5986)	-8.5%
61	67963	(2822)	-4.0%
62	69491	(1294)	-1.8%
63	59772	(11013)	-15.6%
64	71068	283 	0.4%
65	83452	12667 	17.9%
66	90343	19558 	27.6%
67	90871	20086 	28.4%
68	67704	(3081)	-4.4%
69	62682	(8103)	-11.4%
70	59875	(10910)	-15.4%
71	57910	(12875)	-18.2%
72	80749	9964 	14.1%
73	83880	13095 	18.5%
74	66287	(4498)	-6.4%
75	65717	(5068)	-7.2%
76	74724	3939 	5.6%
77	67258	(3527)	-5.0%
78	91663	20878 	29.5%
79	71380	595 	0.8%
80	51524	(19261)	-27.2%
81	63697	(7088)	-10.0%
82	64139	(6646)	-9.4%
83	67380	(3405)	-4.8%
84	79958	9173 	13.0%
85	64196	(6589)	-9.3%
86	45130	(25655)	-36.2%
87	49877	(20908)	-29.5%
88	57734	(13051)	-18.4%
89	55887	(14898)	-21.0%
90	58008	(12777)	-18.1%
91	64799	(5986)	-8.5%
92	60313	(10472)	-14.8%
93	74347	3562 	5.0%
94	64567	(6218)	-8.8%
95	61021	(9764)	-13.8%
96	78182	7397 	10.4%
97	80843	10058 	14.2%
98	72329	1544 	2.2%
99	68266	(2519)	-3.6%
100	68247	(2538)	-3.6%
			
