Agency,Agency Head,Address - Street,Address - Street 2,Address - PO Box,Address - Locality,Address - Zip Code,Phone,Fax,Contact,URL,URL - Social - Facebook
Abingdon Police Department,Tony Sullivan ,,,PO Box 1326,Abingdon,24212,276-628-3111,276-676-1136,psullivan@abingdon.com,www.abingdon-va.gov/apd_index.html,
Virginia Highlands Community College PD,Randall B Andis ,130 VHCC Drive,,PO Box 828,Abingdon,24212-0828,276-739-2448,276-739-2590,bandis@vhcc.edu,www.vhcc.edu/police,
Washington County Sheriff`s Office,Fred P Newman,20281 Rustic Lane,,,Abingdon,24212-0787,276-676-6000,276-676-6248,fnewman@washso.org,www.washcova.com/government/constitutionaloffices/sheriff,
Accomack County Sheriff's Office,Todd E Godwin,23323 Wise Court,,PO Box 149,Accomac,23301,757-787-1131,757-787-2310,tgodwin@co.accomack.va.us,www.co.accomack.va.us/government/constitutional-officers/sheriff,
Alberta Police Department,Michael A Brown,,,PO Box 157,Alberta,23821,434-949-7443,434-949-7443,police@town.bridgewater.va.us,,
Meherrin River Regional Jail,Crystal L Willett,9000 Boydton Plank Road,,,Alberta,23821,434-949-7064,434-949-7065,cwillett@mrrj.org,www.mrrj.org,
Alexandria City Sheriff's Office,Dana A Lawhorne,2003 Mill Road,,,Alexandria,22314,703-746-4111,703-746-5033,alexandriasheriff@alexandriava.gov,ci.alexandria.va.us/sheriff,
Alexandria Department Of Emergency Communications,Jo Anne Munroe,3600 Wheeler Ave,3rd Fl,,Alexandria,22304,703-746-4444,703-746-1889,joanne.munroe@alexandriava.gov,www.alexandriava.gov/emergencycommunications,
Alexandria Police Department,Earl L Cook ,3600 Wheeler Ave.,,,Alexandria,22304,703-838-4444,,earl.cook@alexandriava.gov,ci.alexandria.va.us/police,
Altavista Police Department,Mike Jones,,,PO Box 420,Altavista,24517,434-369-7425,434-369-5046,kiwalsh@altavistava.gov,www.altavistava.gov,
Amelia County Sheriff's Office,Ricky L Walker,16441 Court St.,,PO Box 463,Amelia,23002,804-561-2118,804-561-2759,rlwalker@ameliasheriff.org,,
Amherst County Public Safety,Gary M Roakes,119 Taylor Street,,PO Box 140,Amherst,24521,434-946-9307,434-946-9470,gmroakes@countyofamherst.com,www.countyofamherst.com,
Amherst County Sheriff's Office,L. J Ayers III,,,PO Box 410,Amherst,24521,434-946-9381,434-946-9380,ewviar@amherstsheriff.org,www.amherstsheriff.org,
Amherst Police Department,Robert G Kimbrel,174 S. Main Street,,PO Box 280,Amherst,24521,434-946-7874,434-946-2087,robert.kimbrel@amherstva.gov,,
Northern VA Community College Pd,Dan Dusseau ,8333 Little River Tpk.,CA Building 100,,Annandale,22003,703-764-5037,703-323-3849,ddusseau@nvcc.edu,,
Appalachia Police Department,Kenneth W Joyner,508 Main Street,,PO Box 112,Appalachia,24216,276-565-3906,276-565-3908,kjoyner@appalachiapd.com,townofapplachiava.us,
Appomattox County 911,Robert J Wingfield,339 Court Street,,,Appomattox,24522,434-352-3950,,bobby.wingfield@appomattoxcountyva.gov,,
