Post Office,Zip Code,Related Post Office,Local Jurisdiction,AAA-PSA,AAA Name
ABINGDON,24210,OSCEOLA,Washington Co,03,District Three Senior Services
ABINGDON,24211,,Washington Co,03,District Three Senior Services
ABINGDON,24212,,Washington Co,03,District Three Senior Services
ACCOMAC,23301,,Accomack Co,22,Eastern Shore Area Agency on Aging
ACHILLES,23001,,Gloucester Co,17/18,Bay Aging
AFTON,22920,,Nelson Co,10,Jefferson Area Board for Aging
ALBERTA,23821,,Brunswick Co,13,Lake Country Area Agency on Aging
ALDIE,20105,,Loudoun Co,08D,Loudoun Co Area Agency on Aging
ALEXANDRIA,22301,POTOMAC,Alexandria City,08A,Alexandria Office on Aging and Adult Services
ALEXANDRIA,22302,,Alexandria City,08A,Alexandria Office on Aging and Adult Services
ALEXANDRIA,22303,JEFFERSON MANOR,Fairfax Co,08C,Fairfax Area Agency on Aging
ALEXANDRIA,22304,CAMERON STATION,Alexandria City,08A,Alexandria Office on Aging and Adult Services
ALEXANDRIA,22305,,Alexandria City,08A,Alexandria Office on Aging and Adult Services
ALEXANDRIA,22306,COMMUNITY,Fairfax Co,08C,Fairfax Area Agency on Aging
ALEXANDRIA,22307,BELLEVIEW,Fairfax Co,08C,Fairfax Area Agency on Aging
ALEXANDRIA,22308,,Fairfax Co,08C,Fairfax Area Agency on Aging
ALEXANDRIA,22309,ENGLESIDE,Fairfax Co,08C,Fairfax Area Agency on Aging
ALEXANDRIA,22310,FRANCONIA,Fairfax Co,08C,Fairfax Area Agency on Aging
ALEXANDRIA,22311,,Alexandria City,08A,Alexandria Office on Aging and Adult Services
ALEXANDRIA,22312,,Fairfax Co,08C,Fairfax Area Agency on Aging
ALEXANDRIA,22313,,Alexandria City,08A,Alexandria Office on Aging and Adult Services
ALEXANDRIA,22314,,Alexandria City,08A,Alexandria Office on Aging and Adult Services
ALEXANDRIA,22315,FRANCONIA,Fairfax Co,08C,Fairfax Area Agency on Aging
ALEXANDRIA,22320,GEORGE MASON,Alexandria City,08A,Alexandria Office on Aging and Adult Services
ALEXANDRIA,22331,,Alexandria City,08A,Alexandria Office on Aging and Adult Services
ALEXANDRIA,22332,,Alexandria City,08A,Alexandria Office on Aging and Adult Services
ALEXANDRIA,22333,,Alexandria City,08A,Alexandria Office on Aging and Adult Services
ALEXANDRIA,22334,,Alexandria City,08A,Alexandria Office on Aging and Adult Services
ALEXANDRIA,22336,,Alexandria City,08A,Alexandria Office on Aging and Adult Services
ALTAVISTA,24517,,Campbell Co,11,Central Virginia Area Agency on Aging	 Inc. 
ALTON,24520,,Halifax Co,13,Lake Country Area Agency on Aging
AMELIA COURTHOUSE,23002,AMELIA,Amelia Co,14,Piedmont Sr. Resources Area Agency on Aging
AMHERST,24521,FALCONERVILLE,Amherst Co,11,Central Virginia Area Agency on Aging	 Inc. 
AMISSVILLE,20106,,Rappahannock Co,09,Rappahannock-Rapidan Community Svs. Board
AMMON,23822,,Dinwiddie Co,19,Crater District Area Agency on Aging
AMONATE,24601,,Tazewell Co,02,Appalachian Agency for Senior Citizens	 Inc. 
ANDOVER,24215,,Wise Co,01,Mountain Empire Older Citizens	 Inc 
ANNANDALE,22003,,Fairfax Co,08C,Fairfax Area Agency on Aging
